"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J7";"PinHeader_1x05_P1.27mm_Vertical";1;"Conn_01x05";;;
2;"J4,J1";"PinHeader_1x04_P1.27mm_Vertical";2;"Conn_01x04";;;
3;"LED3,LED2,LED1,LED4";"WS2812BDual";4;"WS2812B";;;
4;"SW_LGUI_1,SW_L_1,SW_TAB_1,SW_KPMINUS_1,SW_KP7_1,SW_RALT_1,SW_UPX_2,SW_SP2_2,SW_9_1,SW_SP2_3,SW_KP4_1,SW_BACKSL_2,SW_1_1,SW_EQ_1,SW_BACKSL_1,SW_POW_1,SW_ENTER_2,SW_LCTRL_3,SW_KPPLUS_1,SW_Y_1,SW_F_1,SW_V_1,SW_X_1,SW_B_1,SW_KP2_1,SW_2_1,SW_RGUI_3,SW_COMMA_1,SW_KPENT_2,SW_E_1,SW_ENTER_3,SW_U_1,SW_J_1,SW_APOS_1,SW_LALT_3,SW_M_1,SW_LALT_5,SW_SP2_6,SW_SP2_4,SW_W_1,SW_CCTRL_1,SW_5_1,SW_RCTRL_3,SW_LCTRL_2,SW_LALT_1,SW_RGUI_1,SW_RSUP1_1,SW_SP1_2,SW_S_1,SW_RALT_4,SW_LSH_1,SW_R_1,SW_D_1,SW_P_1,SW_C_1,SW_O_1,SW_RSH_2,SW_RALT_2,SW_ESC_1,SW_0_1,SW_LALT_2,SW_KPEQ_1,SW_BS_1,SW_KP9_1,SW_K_1,SW_Q_1,SW_SP2_5,SW_LSH_2,SW_LBRC_1,SW_MINUS_1,SW_RSUP3_1,SW_KPPER_1,SW_Z_1,SW_RALT_3,SW_A_1,SW_KPENTX_1,SW_KPMULT_1,SW_KP5_1,SW_LCTRL_1,SW_RGUI_2,SW_KP1_1,SW_LGUI_2,SW_ENTER_1,SW_KPDIV_1,SW_H_1,SW_SP3_2,SW_8_1,SW_T_1,SW_N_1,SW_RBRC_1,SW_CAPS_2,SW_KP0_1,SW_KP3_1,SW_SP3_1,SW_SP1_1,SW_4_1,SW_7_1,SW_RCTRL_2,SW_LALT_4,SW_SLASH_1,SW_6_1,SW_CAPS_1,SW_RSUP2_1,SW_3_1,SW_KPENT_1,SW_KP0_2,SW_KP0X_1,SW_PER_1,SW_SP2_1,SW_KPCLR_1,SW_COLON_1,SW_RCTRL_1,SW_G_1,SW_I_1,SW_KP6_1,SW_LGUI_3,SW_KP8_1,SW_RSH_1";"ALPS-1U";118;"mx-alps-nec";;;
5;"C8,C3,C20,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
6;"C10,C14,C19,C12,C11,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100nF";;;
7;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Ferrite_Bead";;;
8;"D32,D61,D104,D6,D99,D105,D70,D48,D74,D93,D75,D20,D87,D40,D63,D28,D25,D96,D29,D80,D43,D52,D65,D73,D12,D89,D35,D60,D59,D102,D100,D19,D42,D97,D8,D84,D81,D106,D27,D53,D82,D57,D16,D45,D54,D49,D86,D72,D41,D85,D46,D68,D103,D33,D2,D109,D91,D51,D55,D31,D66,D92,D79,D67,D50,D7,D98,D23,D34,D107,D101,D1,D36,D30,D26,D108,D24,D22,D83,D47,D78,D69,D44,D39,D21,D62,D64,D88";"D_SOD-123";88;"D_Small";;;
9;"C16,C18,C25,C21,C17";"C_0805_2012Metric";5;"0.1uF";;;
10;"SW1";"SKQG-1155865";1;"SW_Push";;;
11;"J3,J2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";2;"Conn_01x04_MountingPin";;;
12;"Q3,Q2";"SOT-23";2;"Q_NMOS_GSD 2N7002";;;
13;"R16,R17,R14,R12,R5,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"62k";;;
14;"Q1";"SOT-23";1;"Q_PMOS_GSD AO3401A";;;
15;"R9,R2,R11,R10,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"2k";;;
16;"C22,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7uF";;;
17;"C23,C24";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10pF";;;
18;"U3";"LQFP-64_10x10mm_P0.5mm";1;"STM32F411RETx";;;
19;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
20;"U2";"SOT-23-5";1;"74AHCT1G125";;;
21;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24LC64";;;
22;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"8MHz";;;
23;"R4";"R_0805_2012Metric";1;"1k";;;
24;"BUZ1";"Buzzer_Mallory_AST1109MLTRQ";1;"Buzzer";;;
25;"U1";"SOT-23_Handsoldering";1;"XC6206P332MR";;;
26;"Q4";"SOT-23";1;"2N3904";;;
27;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"390";;;
28;"U5";"SOT-666";1;"USBLC6-2SC6";;;
29;"R6";"R_0805_2012Metric";1;"330";;;
